a,b,seed,score_a
BT-v1,RL-s15-b300-a1.00,20004,0.25
BT-v1,RL-s15-b300-a1.00,20005,0.5
BT-v1,RL-s15-b300-a1.00,20006,0.0
BT-v1,RL-s15-b300-a1.00,20007,0.5
BT-v1,RL-s15-b300-a1.00,20008,0.25
BT-v1,RL-s15-b300-a1.00,20009,0.5
BT-v1,RL-s15-b300-a1.00,20010,0.25
BT-v1,RL-s15-b300-a1.00,20011,0.25
BT-v1,RL-s15-b300-a1.00,20012,0.0
BT-v1,RL-s15-b300-a1.00,20013,0.0
BT-v1,RL-s15-b300-a1.00,20014,0.0
BT-v1,RL-s15-b300-a1.00,20015,0.0
BT-v1,RL-s15-b300-a1.00,20016,0.5
BT-v1,RL-s15-b300-a1.00,20017,0.25
BT-v1,RL-s15-b300-a1.00,20018,0.0
BT-v1,RL-s15-b300-a1.00,20019,0.0
BT-v1,RL-s15-b300-a1.00,20020,0.0
BT-v1,RL-s15-b300-a1.00,20021,0.25
BT-v1,RL-s15-b300-a1.00,20022,0.25
BT-v1,RL-s15-b300-a1.00,20023,0.25
BT-v1,RL-s15-b300-a1.00,20024,0.0
BT-v1,RL-s15-b300-a1.00,20025,0.0
BT-v1,RL-s15-b300-a1.00,20026,0.0
BT-v1,RL-s15-b300-a1.00,20027,0.0
BT-v1,RL-s15-b300-a1.00,20028,0.0
BT-v1,RL-s15-b300-a1.00,20029,0.5
BT-v1,RL-s16-b300-a1.00,20000,0.0
BT-v1,RL-s16-b300-a1.00,20001,0.5
BT-v1,RL-s16-b300-a1.00,20002,0.5
BT-v1,RL-s16-b300-a1.00,20003,0.25
BT-v1,RL-s16-b300-a1.00,20004,0.0
BT-v1,RL-s16-b300-a1.00,20005,0.5
BT-v1,RL-s16-b300-a1.00,20006,0.0
BT-v1,RL-s16-b300-a1.00,20007,0.5
BT-v1,RL-s16-b300-a1.00,20008,0.25
BT-v1,RL-s16-b300-a1.00,20009,0.25
BT-v1,RL-s16-b300-a1.00,20010,0.5
BT-v1,RL-s16-b300-a1.00,20011,0.25
BT-v1,RL-s16-b300-a1.00,20012,0.0
BT-v1,RL-s16-b300-a1.00,20013,0.25
BT-v1,RL-s16-b300-a1.00,20014,0.0
BT-v1,RL-s16-b300-a1.00,20015,0.25
BT-v1,RL-s16-b300-a1.00,20016,0.5
BT-v1,RL-s16-b300-a1.00,20017,0.5
BT-v1,RL-s16-b300-a1.00,20018,0.25
BT-v1,RL-s16-b300-a1.00,20019,0.0
BT-v1,RL-s16-b300-a1.00,20020,0.0
BT-v1,RL-s16-b300-a1.00,20021,0.25
BT-v1,RL-s16-b300-a1.00,20022,0.0
BT-v1,RL-s16-b300-a1.00,20023,0.5
BT-v1,RL-s16-b300-a1.00,20024,0.0
BT-v1,RL-s16-b300-a1.00,20025,0.25
BT-v1,RL-s16-b300-a1.00,20026,0.0
BT-v1,RL-s16-b300-a1.00,20027,0.25
BT-v1,RL-s16-b300-a1.00,20028,0.25
BT-v1,RL-s16-b300-a1.00,20029,0.5
BT-v1,RL-s17-b300-a1.00,20000,0.0
BT-v1,RL-s17-b300-a1.00,20001,0.5
BT-v1,RL-s17-b300-a1.00,20002,0.25
BT-v1,RL-s17-b300-a1.00,20003,0.25
BT-v1,RL-s17-b300-a1.00,20004,0.0
BT-v1,RL-s17-b300-a1.00,20005,0.25
BT-v1,RL-s17-b300-a1.00,20006,0.25
BT-v1,RL-s17-b300-a1.00,20007,0.25
BT-v1,RL-s17-b300-a1.00,20008,0.25
BT-v1,RL-s17-b300-a1.00,20009,0.5
BT-v1,RL-s17-b300-a1.00,20010,0.25
BT-v1,RL-s17-b300-a1.00,20011,0.5
BT-v1,RL-s17-b300-a1.00,20012,0.5
BT-v1,RL-s17-b300-a1.00,20013,0.0
BT-v1,RL-s17-b300-a1.00,20014,0.0
BT-v1,RL-s17-b300-a1.00,20015,0.0
BT-v1,RL-s17-b300-a1.00,20016,0.5
BT-v1,RL-s17-b300-a1.00,20017,0.25
BT-v1,RL-s17-b300-a1.00,20018,0.0
BT-v1,RL-s17-b300-a1.00,20019,0.25
BT-v1,RL-s17-b300-a1.00,20020,0.0
BT-v1,RL-s17-b300-a1.00,20021,0.25
BT-v1,RL-s17-b300-a1.00,20022,0.25
BT-v1,RL-s17-b300-a1.00,20023,0.25
BT-v1,RL-s17-b300-a1.00,20024,0.25
BT-v1,RL-s17-b300-a1.00,20025,0.0
BT-v1,RL-s17-b300-a1.00,20026,0.5
BT-v1,RL-s17-b300-a1.00,20027,0.0
BT-v1,RL-s17-b300-a1.00,20028,0.0
BT-v1,RL-s17-b300-a1.00,20029,0.5
BT-v1,RL-s18-b300-a1.00,20000,0.25
BT-v1,RL-s18-b300-a1.00,20001,0.5
BT-v1,RL-s18-b300-a1.00,20002,0.5
BT-v1,RL-s18-b300-a1.00,20003,0.5
BT-v1,RL-s18-b300-a1.00,20004,0.0
BT-v1,RL-s18-b300-a1.00,20005,0.5
BT-v1,RL-s18-b300-a1.00,20006,0.0
BT-v1,RL-s18-b300-a1.00,20007,0.5
BT-v1,RL-s18-b300-a1.00,20008,0.0
BT-v1,RL-s18-b300-a1.00,20009,0.5
BT-v1,RL-s18-b300-a1.00,20010,0.25
BT-v1,RL-s18-b300-a1.00,20011,0.25
BT-v1,RL-s18-b300-a1.00,20012,0.25
BT-v1,RL-s18-b300-a1.00,20013,0.25
BT-v1,RL-s18-b300-a1.00,20014,0.0
BT-v1,RL-s18-b300-a1.00,20015,0.25
BT-v1,RL-s18-b300-a1.00,20016,0.5
BT-v1,RL-s18-b300-a1.00,20017,0.5
BT-v1,RL-s18-b300-a1.00,20018,0.0
BT-v1,RL-s18-b300-a1.00,20019,0.0
BT-v1,RL-s18-b300-a1.00,20020,0.25
BT-v1,RL-s18-b300-a1.00,20021,0.25
BT-v1,RL-s18-b300-a1.00,20022,0.0
BT-v1,RL-s18-b300-a1.00,20023,0.25
BT-v1,RL-s18-b300-a1.00,20024,0.25
BT-v1,RL-s18-b300-a1.00,20025,0.25
BT-v1,RL-s18-b300-a1.00,20026,0.0
BT-v1,RL-s18-b300-a1.00,20027,0.25
BT-v1,RL-s18-b300-a1.00,20028,0.5
BT-v1,RL-s18-b300-a1.00,20029,0.5
BT-v1,RL-s19-b300-a1.00,20000,0.0
BT-v1,RL-s19-b300-a1.00,20001,0.5
BT-v1,RL-s19-b300-a1.00,20002,0.0
BT-v1,RL-s19-b300-a1.00,20003,0.25
BT-v1,RL-s19-b300-a1.00,20004,0.0
BT-v1,RL-s19-b300-a1.00,20005,0.5
BT-v1,RL-s19-b300-a1.00,20006,0.0
BT-v1,RL-s19-b300-a1.00,20007,0.25
BT-v1,RL-s19-b300-a1.00,20008,0.0
BT-v1,RL-s19-b300-a1.00,20009,0.5
BT-v1,RL-s19-b300-a1.00,20010,0.25
BT-v1,RL-s19-b300-a1.00,20011,0.25
BT-v1,RL-s19-b300-a1.00,20012,0.0
BT-v1,RL-s19-b300-a1.00,20013,0.0
BT-v1,RL-s19-b300-a1.00,20014,0.0
BT-v1,RL-s19-b300-a1.00,20015,0.0
BT-v1,RL-s19-b300-a1.00,20016,0.25
BT-v1,RL-s19-b300-a1.00,20017,0.0
BT-v1,RL-s19-b300-a1.00,20018,0.0
BT-v1,RL-s19-b300-a1.00,20019,0.0
BT-v1,RL-s19-b300-a1.00,20020,0.0
BT-v1,RL-s19-b300-a1.00,20021,0.25
BT-v1,RL-s19-b300-a1.00,20022,0.0
BT-v1,RL-s19-b300-a1.00,20023,0.0
BT-v1,RL-s19-b300-a1.00,20024,0.0
BT-v1,RL-s19-b300-a1.00,20025,0.0
BT-v1,RL-s19-b300-a1.00,20026,0.0
BT-v1,RL-s19-b300-a1.00,20027,0.0
BT-v1,RL-s19-b300-a1.00,20028,0.0
BT-v1,RL-s19-b300-a1.00,20029,0.5
BT-v1,RL-s1-b300-a1.00,20000,0.0
BT-v1,RL-s1-b300-a1.00,20001,0.5
BT-v1,RL-s1-b300-a1.00,20002,0.25
BT-v1,RL-s1-b300-a1.00,20003,0.5
BT-v1,RL-s1-b300-a1.00,20004,0.0
BT-v1,RL-s1-b300-a1.00,20005,0.5
BT-v1,RL-s1-b300-a1.00,20006,0.0
BT-v1,RL-s1-b300-a1.00,20007,0.25
BT-v1,RL-s1-b300-a1.00,20008,0.25
BT-v1,RL-s1-b300-a1.00,20009,0.5
BT-v1,RL-s1-b300-a1.00,20010,0.25
BT-v1,RL-s1-b300-a1.00,20011,0.25
BT-v1,RL-s1-b300-a1.00,20012,0.0
BT-v1,RL-s1-b300-a1.00,20013,0.25
BT-v1,RL-s1-b300-a1.00,20014,0.0
BT-v1,RL-s1-b300-a1.00,20015,0.0
BT-v1,RL-s1-b300-a1.00,20016,0.5
BT-v1,RL-s1-b300-a1.00,20017,0.25
BT-v1,RL-s1-b300-a1.00,20018,0.0
BT-v1,RL-s1-b300-a1.00,20019,0.0
BT-v1,RL-s1-b300-a1.00,20020,0.0
BT-v1,RL-s1-b300-a1.00,20021,0.25
BT-v1,RL-s1-b300-a1.00,20022,0.0
BT-v1,RL-s1-b300-a1.00,20023,0.25
BT-v1,RL-s1-b300-a1.00,20024,0.0
BT-v1,RL-s1-b300-a1.00,20025,0.0
BT-v1,RL-s1-b300-a1.00,20026,0.0
BT-v1,RL-s1-b300-a1.00,20027,0.0
BT-v1,RL-s1-b300-a1.00,20028,0.0
BT-v1,RL-s1-b300-a1.00,20029,0.5
BT-v1,RL-s2-b300-a1.00,20000,0.0
BT-v1,RL-s2-b300-a1.00,20001,0.5
BT-v1,RL-s2-b300-a1.00,20002,0.25
BT-v1,RL-s2-b300-a1.00,20003,0.25
BT-v1,RL-s2-b300-a1.00,20004,0.0
BT-v1,RL-s2-b300-a1.00,20005,0.5
BT-v1,RL-s2-b300-a1.00,20006,0.0
BT-v1,RL-s2-b300-a1.00,20007,0.5
BT-v1,RL-s2-b300-a1.00,20008,0.0
BT-v1,RL-s2-b300-a1.00,20009,0.5
BT-v1,RL-s2-b300-a1.00,20010,0.25
BT-v1,RL-s2-b300-a1.00,20011,0.25
BT-v1,RL-s2-b300-a1.00,20012,0.5
BT-v1,RL-s2-b300-a1.00,20013,0.25
BT-v1,RL-s2-b300-a1.00,20014,0.0
BT-v1,RL-s2-b300-a1.00,20015,0.25
BT-v1,RL-s2-b300-a1.00,20016,0.5
BT-v1,RL-s2-b300-a1.00,20017,0.25
BT-v1,RL-s2-b300-a1.00,20018,0.0
BT-v1,RL-s2-b300-a1.00,20019,0.0
BT-v1,RL-s2-b300-a1.00,20020,0.0
BT-v1,RL-s2-b300-a1.00,20021,0.25
BT-v1,RL-s2-b300-a1.00,20022,0.0
BT-v1,RL-s2-b300-a1.00,20023,0.0
BT-v1,RL-s2-b300-a1.00,20024,0.25
BT-v1,RL-s2-b300-a1.00,20025,0.0
BT-v1,RL-s2-b300-a1.00,20026,0.0
BT-v1,RL-s2-b300-a1.00,20027,0.0
BT-v1,RL-s2-b300-a1.00,20028,0.0
BT-v1,RL-s2-b300-a1.00,20029,0.5
BT-v1,RL-s3-b300-a1.00,20000,0.0
BT-v1,RL-s3-b300-a1.00,20001,0.5
BT-v1,RL-s3-b300-a1.00,20002,0.25
BT-v1,RL-s3-b300-a1.00,20003,0.25
BT-v1,RL-s3-b300-a1.00,20004,0.0
BT-v1,RL-s3-b300-a1.00,20005,0.5
BT-v1,RL-s3-b300-a1.00,20006,0.0
BT-v1,RL-s3-b300-a1.00,20007,0.5
BT-v1,RL-s3-b300-a1.00,20008,0.0
BT-v1,RL-s3-b300-a1.00,20009,0.5
BT-v1,RL-s3-b300-a1.00,20010,0.25
BT-v1,RL-s3-b300-a1.00,20011,0.25
BT-v1,RL-s3-b300-a1.00,20012,0.0
BT-v1,RL-s3-b300-a1.00,20013,0.25
BT-v1,RL-s3-b300-a1.00,20014,0.0
BT-v1,RL-s3-b300-a1.00,20015,0.25
BT-v1,RL-s3-b300-a1.00,20016,0.5
BT-v1,RL-s3-b300-a1.00,20017,0.5
BT-v1,RL-s3-b300-a1.00,20018,0.0
BT-v1,RL-s3-b300-a1.00,20019,0.0
BT-v1,RL-s3-b300-a1.00,20020,0.0
BT-v1,RL-s3-b300-a1.00,20021,0.25
BT-v1,RL-s3-b300-a1.00,20022,0.0
BT-v1,RL-s3-b300-a1.00,20023,0.5
BT-v1,RL-s3-b300-a1.00,20024,0.0
BT-v1,RL-s3-b300-a1.00,20025,0.25
BT-v1,RL-s3-b300-a1.00,20026,0.0
BT-v1,RL-s3-b300-a1.00,20027,0.0
BT-v1,RL-s3-b300-a1.00,20028,0.25
BT-v1,RL-s3-b300-a1.00,20029,0.5
BT-v1,RL-s4-b300-a1.00,20000,0.0
BT-v1,RL-s4-b300-a1.00,20001,0.5
BT-v1,RL-s4-b300-a1.00,20002,0.0
BT-v1,RL-s4-b300-a1.00,20003,0.25
BT-v1,RL-s4-b300-a1.00,20004,0.25
BT-v1,RL-s4-b300-a1.00,20005,0.25
BT-v1,RL-s4-b300-a1.00,20006,0.0
BT-v1,RL-s4-b300-a1.00,20007,0.25
BT-v1,RL-s4-b300-a1.00,20008,0.0
BT-v1,RL-s4-b300-a1.00,20009,0.5
BT-v1,RL-s4-b300-a1.00,20010,0.25
BT-v1,RL-s4-b300-a1.00,20011,0.25
BT-v1,RL-s4-b300-a1.00,20012,0.25
BT-v1,RL-s4-b300-a1.00,20013,0.0
BT-v1,RL-s4-b300-a1.00,20014,0.0
BT-v1,RL-s4-b300-a1.00,20015,0.0
BT-v1,RL-s4-b300-a1.00,20016,0.25
BT-v1,RL-s4-b300-a1.00,20017,0.25
BT-v1,RL-s4-b300-a1.00,20018,0.0
BT-v1,RL-s4-b300-a1.00,20019,0.25
BT-v1,RL-s4-b300-a1.00,20020,0.0
BT-v1,RL-s4-b300-a1.00,20021,0.25
BT-v1,RL-s4-b300-a1.00,20022,0.25
BT-v1,RL-s4-b300-a1.00,20023,0.5
BT-v1,RL-s4-b300-a1.00,20024,0.0
BT-v1,RL-s4-b300-a1.00,20025,0.0
BT-v1,RL-s4-b300-a1.00,20026,0.25
BT-v1,RL-s4-b300-a1.00,20027,0.0
BT-v1,RL-s4-b300-a1.00,20028,0.0
BT-v1,RL-s4-b300-a1.00,20029,0.5
BT-v1,RL-s5-b300-a1.00,20000,0.0
BT-v1,RL-s5-b300-a1.00,20001,0.5
BT-v1,RL-s5-b300-a1.00,20002,0.25
BT-v1,RL-s5-b300-a1.00,20003,0.25
BT-v1,RL-s5-b300-a1.00,20004,0.0
BT-v1,RL-s5-b300-a1.00,20005,0.5
BT-v1,RL-s5-b300-a1.00,20006,0.25
BT-v1,RL-s5-b300-a1.00,20007,0.5
BT-v1,RL-s5-b300-a1.00,20008,0.0
BT-v1,RL-s5-b300-a1.00,20009,0.5
BT-v1,RL-s5-b300-a1.00,20010,0.25
BT-v1,RL-s5-b300-a1.00,20011,0.25
BT-v1,RL-s5-b300-a1.00,20012,0.0
BT-v1,RL-s5-b300-a1.00,20013,0.0
BT-v1,RL-s5-b300-a1.00,20014,0.0
BT-v1,RL-s5-b300-a1.00,20015,0.25
BT-v1,RL-s5-b300-a1.00,20016,0.5
BT-v1,RL-s5-b300-a1.00,20017,0.25
BT-v1,RL-s5-b300-a1.00,20018,0.0
BT-v1,RL-s5-b300-a1.00,20019,0.0
BT-v1,RL-s5-b300-a1.00,20020,0.25
BT-v1,RL-s5-b300-a1.00,20021,0.25
BT-v1,RL-s5-b300-a1.00,20022,0.0
BT-v1,RL-s5-b300-a1.00,20023,0.25
BT-v1,RL-s5-b300-a1.00,20024,0.25
